sourceTaxonName	sourceTaxonId	interactionTypeId	interactionTypeLabel	targetTaxonName	targetTaxonId	targetLifeStageName	targetLifeStageId	targetBodyPartName	targetBodyPartId	observationDateTime	localityId	localityName	referenceDoi	referenceCitation	referenceUrl
Insecta		RO:0002455	pollinates	Plantae										IABIN Pollinators Thematic Network (IABIN PTN)	http://www.biocomp.org.br/iabinptn
Viruses		RO:0002556	pathogen of	Mammalia										 Olival et al. 2017	https://github.com/ecohealthalliance/HP3/blob/master/data/associations.csv
Eulemur macaco		RO:0002470	eats	Mendoncia cowanii										Magnaghi, E.B. and T.F. Daniel. 2017. Systematics of Mendoncia (Acanthaceae: Thunbergioideae) in the Paleotropics. Proceedings of the California Academy of Sciences 64:37-94.	
Eulemur rubriventer		RO:0002470	eats	Mendoncia cowanii										Magnaghi, E.B. and T.F. Daniel. 2017. Systematics of Mendoncia (Acanthaceae: Thunbergioideae) in the Paleotropics. Proceedings of the California Academy of Sciences 64:37-94.	
Streptococcus mutans UA159	NCBI:210007	RO:0002556	pathogen of	Homo sapiens	NCBI:9606			tooth	http://purl.obolibrary.org/obo/UBERON_0001091				10.1073/pnas.172501299	Ajdic, D., McShan, W. M., McLaughlin, R. E., Savic, G., Chang, J., Carson, M. B., … Ferretti, J. J. (2002). Genome sequence of Streptococcus mutans UA159, a cariogenic dental pathogen. Proceedings of the National Academy of Sciences, 99(22), 14434–14439. doi:10.1073/pnas.172501299	
Otus asio	ITIS:177856	RO:0002441	commensalist of	Leptotyphlops dulcis	ITIS:174336								10.1007/bf00379297	Gehlbach, F. R., & Baldridge, R. S. (1987). Live blind snakes (Leptotyphlops dulcis) in eastern screech owl (Otus asio) nests: a novel commensalism. Oecologia, 71(4), 560–563. doi:10.1007/bf00379297	
Leptotyphlops dulcis	ITIS:174336	RO:0002470	eats	Insecta	ITIS:99208	larva	http://purl.obolibrary.org/obo/UBERON_0002548						10.1007/bf00379297	Gehlbach, F. R., & Baldridge, R. S. (1987). Live blind snakes (Leptotyphlops dulcis) in eastern screech owl (Otus asio) nests: a novel commensalism. Oecologia, 71(4), 560–563. doi:10.1007/bf00379297	
Cyclosa argenteoalba		RO:0002209	has ectoparasitoid	Reclinervellus nielseni		larva	http://purl.obolibrary.org/obo/UBERON_0002548						10.1636/JoA-S-18-082	Takasuka, K., 2019. Evaluation of manipulative effects by an ichneumonid spider-ectoparasitoid larva upon an orb-weaving spider host (Araneidae: Cyclosa argenteoalba) by means of surgical removal and transplantation. The Journal of Arachnology, 47(2), p.181. Available at: http://dx.doi.org/10.1636/joa-s-18-082.	
Ancylostoma		http://purl.obolibrary.org/obo/RO_0002444	parasite of	Crocuta crocuta									10.1002/ece3.5431	Ferreira, SCM, Hofer, H, Madeira de Carvalho, L, East, ML. Parasite infections in a social carnivore: Evidence of their fitness consequences and factors modulating infection load. Ecol Evol. 2019; 9: 8783– 8799. https://doi.org/10.1002/ece3.5431	
Cystoisospora		http://purl.obolibrary.org/obo/RO_0002444	parasite of	Crocuta crocuta									10.1002/ece3.5431	Ferreira, SCM, Hofer, H, Madeira de Carvalho, L, East, ML. Parasite infections in a social carnivore: Evidence of their fitness consequences and factors modulating infection load. Ecol Evol. 2019; 9: 8783– 8799. https://doi.org/10.1002/ece3.5431	
